id,geom_xq,fid,nm_xq,id_xq,lon_earth,lat_earth,lon_mars,lat_mars,id_county,nm_county,nm_shangqu,manage_com,bld_area,r_green,plot_ratio,dishang,dixia,n_parking,n_bld,n_hhld,year_built,fee,n_sale,n_rent,developer,price,yt_bieshu,yt_gongyu,yt_pingfan,yt_zhuzhai,yt_shangye,yt_shangzh,yt_siheyua,id_xq_old,id_beike,yt_unkow_1,area_beike,area_xq,area_ratio,avg_area,unit_rent,id_shp,id_shp2,id_shp,nm_village,nm_town,nm_county,nm_busi_in,dis_tam,area
5811,"MULTIPOLYGON (((116.44798546315872 39.89311164318781, 116.44796950019236 39.89246163839397, 116.44676214235903 39.89248405039865, 116.44594089495638 39.89249531800459, 116.44592783410235 39.892694281316096, 116.44598297603363 39.89275439380026, 116.44601804689546 39.89295345873518, 116.4464672726466 39.892955403968756, 116.44668487081015 39.89295086509043, 116.44678714441125 39.89301707857538, 116.44683928890208 39.89301018976852, 116.4468904207564 39.89308229561152, 116.44699069156718 39.89312750632939, 116.44798546315872 39.89311164318781)))",5811,广渠门外大街路北区,103964,116.4470517,39.89276801,116.4532348,39.89412762,110105000,朝阳区,双井,北京房地产集团有限公司第一物业管理分公司,-1,10,2.9,-1,-1,-1,6,610,1990,1.7,13,6,北京房地集团有限公司,69682,0,0,0,1,1,0,0,9178,109498747,0,0.010857309,0.010857309,1,-1,107,5810,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5812,"MULTIPOLYGON (((116.44798439836131 39.893598618881185, 116.4479653938879 39.89321159563866, 116.4470859477583 39.893184706808825, 116.44708092774272 39.89323369378002, 116.44708288556683 39.893607681349465, 116.4474920159438 39.89365355486774, 116.44796031991291 39.89368756273086, 116.44798439836131 39.893598618881185)))",5812,广馨居,101737,116.4475369,39.89342629,116.4537189,39.894785,110105000,朝阳区,双井,北京房泰物业管理有限责任公司,20000,30,3.3,-1,-1,-1,2,180,2000,1.7,5,2,-1,60360,0,0,0,1,0,0,0,9162,109498995,0,0.003846198,0.003846198,1,111.1111111,90,5811,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5813,"MULTIPOLYGON (((116.4440847041459 39.89424640954422, 116.44408380572315 39.89342544542802, 116.44410496497221 39.89260152613957, 116.44409996474167 39.892503520720936, 116.44309333289107 39.89250349553993, 116.44259003360321 39.8925054965315, 116.44184312775815 39.89250603072878, 116.44097795027221 39.89251735858926, 116.44097591420712 39.89276434300007, 116.44103105164174 39.89276744835911, 116.44099988024038 39.89350935487289, 116.44162545315226 39.893490562639386, 116.44188811274626 39.89352807156331, 116.4420805919458 39.893606443882334, 116.44216479636827 39.89368460575997, 116.44222694491759 39.893766723755334, 116.44227305046093 39.89386281002072, 116.44229108366665 39.893961840666464, 116.44239733856637 39.89409604379745, 116.44256975479038 39.89430237435516, 116.4428013275193 39.894483824269116, 116.44294167931514 39.894570098930956, 116.44310609337163 39.8946654216719, 116.44336575372665 39.89477293562254, 116.44364046513545 39.89481848538486, 116.4441036789417 39.89484642102559, 116.4440847041459 39.89424640954422)))",5813,富力城E区,101738,116.4428374,39.8934275,116.4490306,39.89479486,110105000,朝阳区,双井,北京恒富物业管理有限公司,20000,50,1.2,100,400,500,16,260,2008,6.166666667,14,8,-1,88834,1,0,0,1,1,0,0,9586,109497111,0,0.048522209,0.048522209,1,76.92307692,141,5812,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5814,"MULTIPOLYGON (((116.44088559799206 39.89348613707563, 116.44034526192434 39.89346511002685, 116.44032519535153 39.893599065844285, 116.43944404051012 39.89360841249828, 116.43937777936105 39.89440625324602, 116.4394168710918 39.894429324453824, 116.43968351648118 39.89444982000322, 116.44083835300762 39.894496000190315, 116.44088559799206 39.89348613707563)))",5814,远洋德邑,101739,116.4401685,39.89400982,116.4463678,39.89538178,110101000,东城区,广渠门,河北恒辉物业服务集团有限公司北京分公司,100000,33,3,150,290,440,4,789,2003,2.92,26,4,北京方锦基业房地产开发有限公司,82324,0,0,0,1,1,0,0,981,109528767,0,0.012531898,0.012531898,1,126.7427123,107,5813,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5815,"MULTIPOLYGON (((116.44937104054111 39.89587654856393, 116.4496067402589 39.89568507840369, 116.44959875158122 39.89541407310105, 116.44960004660493 39.8931041815128, 116.44925204854326 39.89311241120885, 116.44923504865858 39.8927253915636, 116.44870153125078 39.892717220323505, 116.44867030229273 39.89383810024816, 116.44798336324163 39.89385860479081, 116.44798237938335 39.89370360933418, 116.4474809839603 39.89366253100104, 116.44706683896356 39.89362764629891, 116.4470548518999 39.89326163751463, 116.44682523249855 39.89315015305715, 116.44667985439185 39.89297185346834, 116.44599097190587 39.89296340163975, 116.44596392209735 39.89277335330769, 116.44589072897406 39.892725201806684, 116.44590178703788 39.89250323563584, 116.44450904115934 39.89254835192497, 116.44444085815917 39.89256721160757, 116.44441172372217 39.893015131543166, 116.4443846064645 39.89337506001107, 116.44437045473273 39.89427998933007, 116.4443873350076 39.895587964213234, 116.44442642134231 39.89572703807238, 116.44457479419145 39.89589333351057, 116.44824182929699 39.89591807206142, 116.44937104054111 39.89587654856393)))",5815,富力城D区,101741,116.44684,39.89444416,116.4530237,39.89580418,110105000,朝阳区,双井,富力物业,1400000,56,2.7,0,3818,3818,55,2954,2006,9.6,81,28,北京富力城房地产开发有限公司,105177,0,0,0,1,1,0,0,9587,109497107,1,0.139354462,0.139354462,1,473.9336493,138,5814,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5859,"MULTIPOLYGON (((116.44382966270882 39.897180760683625, 116.44401817769676 39.89702914847646, 116.44400224260949 39.896182154382984, 116.44378770304013 39.89598972914274, 116.4421554973784 39.89586848794039, 116.44200096866984 39.896941137223735, 116.44199192149006 39.89712911081983, 116.44308071450348 39.89713925966913, 116.44308171365026 39.89716826010715, 116.44343763653774 39.89718497130946, 116.44382966270882 39.897180760683625)))",5859,CBD总部公寓一期,106127,116.443015,39.89655594,116.4492083,39.89792315,110105000,朝阳区,双井,北京华润置地物业管理有限公司,-1,30,4.4,150,350,500,5,492,2004,2.6,13,5,北京金隅嘉业房地产开发有限公司,93755,0,0,0,1,0,0,0,12519,109505299,0,0.022227762,0.022227762,1,-1,112,5858,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5860,"MULTIPOLYGON (((116.44601156638078 39.89662127804963, 116.4460016009931 39.896133278927714, 116.44428198212779 39.896169723953676, 116.44428286616142 39.89710768267349, 116.44599947139852 39.89711423063727, 116.44601156638078 39.89662127804963)))",5860,双花园南里二区,108720,116.4451507,39.89663101,116.4513389,39.89799436,110105000,朝阳区,双井,北京市光环物业管理中心,12962,35,2,130,0,130,2,206,2002,1.6,6,2,北京金隅嘉业房地产开发公司,70638,0,1,0,1,1,0,0,4388,109517219,0,0.048428966,0.015692913,0.324039809,62.79434851,104,5859,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5862,"MULTIPOLYGON (((116.4495483274934 39.89763286156739, 116.44964260612142 39.89757207279297, 116.4496937658547 39.8974661911119, 116.44963775337965 39.896290119793264, 116.44959865355509 39.896194038024476, 116.44951843222998 39.89612186293368, 116.44939307662924 39.896089587164795, 116.44723398695896 39.89612788929071, 116.44714272915371 39.89616469224683, 116.4471046140867 39.896239607571886, 116.44711045068686 39.89766555642035, 116.4495483274934 39.89763286156739)))",5862,富力十号,101744,116.4483822,39.89688296,116.4545624,39.89824016,110105000,朝阳区,双井,北京恒富物业管理有限公司,100000,30,2.25,0,212,212,10,267,2012,13,22,3,北京富力城房地产开发有限公司,137168,1,0,0,1,1,0,0,9577,163451855,0,0.03714362,0.03714362,1,374.5318352,246,5861,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5866,"MULTIPOLYGON (((116.43974744928539 39.899547621625516, 116.44160342875534 39.899740358031124, 116.44171764265514 39.89825557463513, 116.44196748601075 39.89648525559011, 116.44205711244581 39.895897925448935, 116.4407662552585 39.89578490045284, 116.44066512829306 39.897581393366636, 116.44052830903433 39.898580767688316, 116.44034390035074 39.8987294840785, 116.43980257323028 39.8987294840785, 116.43979786438001 39.89890199473132, 116.43974744928539 39.899547621625516)))",5866,双花园西里,106129,116.4410867,39.89789731,116.4472845,39.89926791,110105000,朝阳区,双井,北京金海燕物业管理有限公司光环物业管理分公司,-1,20,2.5,-1,-1,-1,14,1357,1997,0.6,28,8,北京金隅嘉业房地产开发公司,66906,0,0,0,1,0,0,0,4386,109517231,0,0.049084587,0.049084587,1,-1,100,5865,,90600,富力西社区,双井街道,朝阳区,双井,5101.484809,0.580827237
5859,"MULTIPOLYGON (((116.44382966270882 39.897180760683625, 116.44401817769676 39.89702914847646, 116.44400224260949 39.896182154382984, 116.44378770304013 39.89598972914274, 116.4421554973784 39.89586848794039, 116.44200096866984 39.896941137223735, 116.44199192149006 39.89712911081983, 116.44308071450348 39.89713925966913, 116.44308171365026 39.89716826010715, 116.44343763653774 39.89718497130946, 116.44382966270882 39.897180760683625)))",5859,CBD总部公寓一期,106127,116.443015,39.89655594,116.4492083,39.89792315,110105000,朝阳区,双井,北京华润置地物业管理有限公司,-1,30,4.4,150,350,500,5,492,2004,2.6,13,5,北京金隅嘉业房地产开发有限公司,93755,0,0,0,1,0,0,0,12519,109505299,0,0.022227762,0.022227762,1,-1,112,5858,,644,光环社区,双井街道,朝阳区,"CBD,双井",4972.451476,0.648177794
