mmac	est_utc	est	qiuqian1
581a328bcacf4f209f976608d047e677	1609464840	2021/1/1 09:34:00	27
581a328bcacf4f209f976608d047e677	1609465500	2021/1/1 09:45:00	26
581a328bcacf4f209f976608d047e677	1609466520	2021/1/1 10:02:00	29
581a328bcacf4f209f976608d047e677	1609466580	2021/1/1 10:03:00	53
581a328bcacf4f209f976608d047e677	1609466640	2021/1/1 10:04:00	28
581a328bcacf4f209f976608d047e677	1609467300	2021/1/1 10:15:00	26
581a328bcacf4f209f976608d047e677	1609467660	2021/1/1 10:21:00	26
581a328bcacf4f209f976608d047e677	1609469160	2021/1/1 10:46:00	26
581a328bcacf4f209f976608d047e677	1609469220	2021/1/1 10:47:00	26
581a328bcacf4f209f976608d047e677	1609470960	2021/1/1 11:16:00	26
581a328bcacf4f209f976608d047e677	1609471260	2021/1/1 11:21:00	25
581a328bcacf4f209f976608d047e677	1609471440	2021/1/1 11:24:00	27
581a328bcacf4f209f976608d047e677	1609471500	2021/1/1 11:25:00	26
581a328bcacf4f209f976608d047e677	1609471560	2021/1/1 11:26:00	25
581a328bcacf4f209f976608d047e677	1609471800	2021/1/1 11:30:00	26
581a328bcacf4f209f976608d047e677	1609471860	2021/1/1 11:31:00	26
581a328bcacf4f209f976608d047e677	1609471920	2021/1/1 11:32:00	25
581a328bcacf4f209f976608d047e677	1609471980	2021/1/1 11:33:00	26
581a328bcacf4f209f976608d047e677	1609472040	2021/1/1 11:34:00	28
581a328bcacf4f209f976608d047e677	1609472100	2021/1/1 11:35:00	26
581a328bcacf4f209f976608d047e677	1609472220	2021/1/1 11:37:00	26
581a328bcacf4f209f976608d047e677	1609472280	2021/1/1 11:38:00	25
581a328bcacf4f209f976608d047e677	1609472340	2021/1/1 11:39:00	27
581a328bcacf4f209f976608d047e677	1609472400	2021/1/1 11:40:00	25
581a328bcacf4f209f976608d047e677	1609472580	2021/1/1 11:43:00	25
581a328bcacf4f209f976608d047e677	1609472640	2021/1/1 11:44:00	26
581a328bcacf4f209f976608d047e677	1609472700	2021/1/1 11:45:00	26
581a328bcacf4f209f976608d047e677	1609472880	2021/1/1 11:48:00	26
581a328bcacf4f209f976608d047e677	1609475580	2021/1/1 12:33:00	28
581a328bcacf4f209f976608d047e677	1609475760	2021/1/1 12:36:00	26
581a328bcacf4f209f976608d047e677	1609475880	2021/1/1 12:38:00	29
581a328bcacf4f209f976608d047e677	1609476480	2021/1/1 12:48:00	26
581a328bcacf4f209f976608d047e677	1609476660	2021/1/1 12:51:00	26
581a328bcacf4f209f976608d047e677	1609477020	2021/1/1 12:57:00	25
581a328bcacf4f209f976608d047e677	1609477260	2021/1/1 13:01:00	25
581a328bcacf4f209f976608d047e677	1609477320	2021/1/1 13:02:00	25
581a328bcacf4f209f976608d047e677	1609478160	2021/1/1 13:16:00	26
581a328bcacf4f209f976608d047e677	1609478640	2021/1/1 13:24:00	27
581a328bcacf4f209f976608d047e677	1609478820	2021/1/1 13:27:00	25
581a328bcacf4f209f976608d047e677	1609479240	2021/1/1 13:34:00	25
581a328bcacf4f209f976608d047e677	1609479420	2021/1/1 13:37:00	28
581a328bcacf4f209f976608d047e677	1609479840	2021/1/1 13:44:00	26
581a328bcacf4f209f976608d047e677	1609480500	2021/1/1 13:55:00	29
581a328bcacf4f209f976608d047e677	1609484040	2021/1/1 14:54:00	27
581a328bcacf4f209f976608d047e677	1609485360	2021/1/1 15:16:00	32
581a328bcacf4f209f976608d047e677	1609485720	2021/1/1 15:22:00	28
581a328bcacf4f209f976608d047e677	1609485780	2021/1/1 15:23:00	25
581a328bcacf4f209f976608d047e677	1609486560	2021/1/1 15:36:00	28
581a328bcacf4f209f976608d047e677	1609488120	2021/1/1 16:02:00	27
581a328bcacf4f209f976608d047e677	1609489500	2021/1/1 16:25:00	27
581a328bcacf4f209f976608d047e677	1609490220	2021/1/1 16:37:00	26
581a328bcacf4f209f976608d047e677	1609491420	2021/1/1 16:57:00	26
581a328bcacf4f209f976608d047e677	1609491480	2021/1/1 16:58:00	26
581a328bcacf4f209f976608d047e677	1609492560	2021/1/1 17:16:00	25
581a328bcacf4f209f976608d047e677	1609492800	2021/1/1 17:20:00	27
581a328bcacf4f209f976608d047e677	1609493340	2021/1/1 17:29:00	25
581a328bcacf4f209f976608d047e677	1609493580	2021/1/1 17:33:00	25
581a328bcacf4f209f976608d047e677	1609493700	2021/1/1 17:35:00	26
581a328bcacf4f209f976608d047e677	1609494000	2021/1/1 17:40:00	31
581a328bcacf4f209f976608d047e677	1609494540	2021/1/1 17:49:00	27
581a328bcacf4f209f976608d047e677	1609494840	2021/1/1 17:54:00	26
581a328bcacf4f209f976608d047e677	1609494900	2021/1/1 17:55:00	28
581a328bcacf4f209f976608d047e677	1609495020	2021/1/1 17:57:00	25
581a328bcacf4f209f976608d047e677	1609495140	2021/1/1 17:59:00	30
581a328bcacf4f209f976608d047e677	1609495380	2021/1/1 18:03:00	26
581a328bcacf4f209f976608d047e677	1609495440	2021/1/1 18:04:00	27
581a328bcacf4f209f976608d047e677	1609495740	2021/1/1 18:09:00	25
581a328bcacf4f209f976608d047e677	1609495800	2021/1/1 18:10:00	25
581a328bcacf4f209f976608d047e677	1609496220	2021/1/1 18:17:00	26
581a328bcacf4f209f976608d047e677	1609496280	2021/1/1 18:18:00	25
581a328bcacf4f209f976608d047e677	1609496400	2021/1/1 18:20:00	25
581a328bcacf4f209f976608d047e677	1609496460	2021/1/1 18:21:00	28
581a328bcacf4f209f976608d047e677	1609496520	2021/1/1 18:22:00	26
581a328bcacf4f209f976608d047e677	1609496880	2021/1/1 18:28:00	27
581a328bcacf4f209f976608d047e677	1609496940	2021/1/1 18:29:00	25
581a328bcacf4f209f976608d047e677	1609497000	2021/1/1 18:30:00	29
581a328bcacf4f209f976608d047e677	1609497300	2021/1/1 18:35:00	28
581a328bcacf4f209f976608d047e677	1609497360	2021/1/1 18:36:00	31
581a328bcacf4f209f976608d047e677	1609497420	2021/1/1 18:37:00	27
581a328bcacf4f209f976608d047e677	1609497720	2021/1/1 18:42:00	31
581a328bcacf4f209f976608d047e677	1609497900	2021/1/1 18:45:00	26
581a328bcacf4f209f976608d047e677	1609497960	2021/1/1 18:46:00	27
581a328bcacf4f209f976608d047e677	1609498260	2021/1/1 18:51:00	25
581a328bcacf4f209f976608d047e677	1609498380	2021/1/1 18:53:00	30
581a328bcacf4f209f976608d047e677	1609498560	2021/1/1 18:56:00	28
581a328bcacf4f209f976608d047e677	1609498620	2021/1/1 18:57:00	27
581a328bcacf4f209f976608d047e677	1609498800	2021/1/1 19:00:00	27
581a328bcacf4f209f976608d047e677	1609499580	2021/1/1 19:13:00	30
581a328bcacf4f209f976608d047e677	1609499880	2021/1/1 19:18:00	26
581a328bcacf4f209f976608d047e677	1609500000	2021/1/1 19:20:00	32
581a328bcacf4f209f976608d047e677	1609500180	2021/1/1 19:23:00	30
581a328bcacf4f209f976608d047e677	1609500600	2021/1/1 19:30:00	27
581a328bcacf4f209f976608d047e677	1609500660	2021/1/1 19:31:00	29
581a328bcacf4f209f976608d047e677	1609500780	2021/1/1 19:33:00	26
581a328bcacf4f209f976608d047e677	1609500840	2021/1/1 19:34:00	28
581a328bcacf4f209f976608d047e677	1609501200	2021/1/1 19:40:00	30
581a328bcacf4f209f976608d047e677	1609501320	2021/1/1 19:42:00	27
581a328bcacf4f209f976608d047e677	1609501680	2021/1/1 19:48:00	25
581a328bcacf4f209f976608d047e677	1609502520	2021/1/1 20:02:00	27
581a328bcacf4f209f976608d047e677	1609502880	2021/1/1 20:08:00	27
581a328bcacf4f209f976608d047e677	1609551360	2021/1/2 09:36:00	26
581a328bcacf4f209f976608d047e677	1609551900	2021/1/2 09:45:00	28
581a328bcacf4f209f976608d047e677	1609552320	2021/1/2 09:52:00	27
581a328bcacf4f209f976608d047e677	1609552620	2021/1/2 09:57:00	27
581a328bcacf4f209f976608d047e677	1609552680	2021/1/2 09:58:00	26
581a328bcacf4f209f976608d047e677	1609552740	2021/1/2 09:59:00	34
581a328bcacf4f209f976608d047e677	1609553100	2021/1/2 10:05:00	26
581a328bcacf4f209f976608d047e677	1609553460	2021/1/2 10:11:00	25
581a328bcacf4f209f976608d047e677	1609553580	2021/1/2 10:13:00	25
